Wavenumber,Reflectivity,,,,Wavelength um,Ref decimal,,new column for sorting,Wavelength,ref
674.9918,4.59386,,,,14.81499479,0.0459386,,,2.500119381,0.0485018
676.9203,4.89525,,,,14.77278787,0.0489525,,,2.501325703,0.0485871
678.8489,5.21832,,,,14.7308186,0.0521832,,,2.502533189,0.0485716
680.7775,5.56486,,,,14.68908711,0.0556486,,,2.503741215,0.0484416
682.706,5.91232,,,,14.64759355,0.0591232,,,2.504951036,0.0483149
684.6345,6.25506,,,,14.60633374,0.0625506,,,2.506161398,0.0481882
686.5631,6.58495,,,,14.56530361,0.0658495,,,2.507373559,0.0480233
688.4916,6.88471,,,,14.52450546,0.0688471,,,2.508586264,0.0478642
690.4202,7.13129,,,,14.48393312,0.0713129,,,2.509800772,0.0479383
692.3488,7.28052,,,,14.44358682,0.0728052,,,2.511015826,0.0480661
694.2773,7.33073,,,,14.40346674,0.0733073,,,2.512232689,0.0480548
696.2058,7.30352,,,,14.36356893,0.0730352,,,2.513450732,0.0481164
698.1344,7.16339,,,,14.3238895,0.0716339,,,2.514669323,0.0481919
700.0629,6.90389,,,,14.28443073,0.0690389,,,2.515889731,0.0481571
701.9915,6.53293,,,,14.24518673,0.0653293,,,2.517110689,0.0482331
703.92,6.03891,,,,14.20615979,0.0603891,,,2.518333468,0.0484042
705.8486,5.48001,,,,14.1673441,0.0548001,,,2.5195568,0.0485137
707.7771,4.89564,,,,14.12874194,0.0489564,,,2.520781957,0.0485404
709.7057,4.32474,,,,14.09034759,0.0432474,,,2.522007669,0.0485941
711.6342,3.81156,,,,14.05216332,0.0381156,,,2.523235211,0.0488357
713.5627,3.43064,,,,14.01418544,0.0343064,,,2.524463312,0.0491334
715.4913,3.28395,,,,13.97641034,0.0328395,,,2.525693246,0.0492484
717.4199,3.30974,,,,13.93883833,0.0330974,,,2.526924379,0.0492413
719.3484,3.27991,,,,13.90146972,0.0327991,,,2.528156074,0.049244
721.277,3.19814,,,,13.86429901,0.0319814,,,2.52938961,0.049303
723.2055,3.16964,,,,13.82732847,0.0316964,,,2.53062371,0.049398
