Wavenumber,Transmissivity,,,,,,,,,wavelength,trans
674.9918,94.21562,,,,14.81499479,0.9421562,,,,2.500119381,0.8585844
676.9203,93.44449,,,,14.77278787,0.9344449,,,,2.501325703,0.8590753
678.8489,92.64552,,,,14.7308186,0.9264552,,,,2.502533189,0.8592174
680.7775,91.84364,,,,14.68908711,0.9184364,,,,2.503741215,0.8592806
682.706,91.03851,,,,14.64759355,0.9103851,,,,2.504951036,0.8593777
684.6345,90.24747,,,,14.60633374,0.9024747,,,,2.506161398,0.8594858
686.5631,89.51936,,,,14.56530361,0.8951936,,,,2.507373559,0.8597706
688.4916,88.83561,,,,14.52450546,0.8883561,,,,2.508586264,0.8598648
690.4202,88.1067,,,,14.48393312,0.881067,,,,2.509800772,0.8596788
692.3488,87.39039,,,,14.44358682,0.8739039,,,,2.511015826,0.8594195
694.2773,86.65211,,,,14.40346674,0.8665211,,,,2.512232689,0.8594819
696.2058,85.75774,,,,14.36356893,0.8575774,,,,2.513450732,0.8599342
698.1344,84.65704,,,,14.3238895,0.8465704,,,,2.514669323,0.8603669
700.0629,83.23666,,,,14.28443073,0.8323666,,,,2.515889731,0.861022
701.9915,81.33624,,,,14.24518673,0.8133624,,,,2.517110689,0.8620441
703.92,78.81761,,,,14.20615979,0.7881761,,,,2.518333468,0.8627786
705.8486,75.52567,,,,14.1673441,0.7552567,,,,2.5195568,0.863598
707.7771,71.19557,,,,14.12874194,0.7119557,,,,2.520781957,0.8645493
709.7057,65.41954,,,,14.09034759,0.6541954,,,,2.522007669,0.8648545
711.6342,57.7835,,,,14.05216332,0.577835,,,,2.523235211,0.8651914
713.5627,47.69359,,,,14.01418544,0.4769359,,,,2.524463312,0.8658954
715.4913,34.3424,,,,13.97641034,0.343424,,,,2.525693246,0.8662217
717.4199,19.32678,,,,13.93883833,0.1932678,,,,2.526924379,0.8664576
719.3484,10.17716,,,,13.90146972,0.1017716,,,,2.528156074,0.8666637
721.277,12.27804,,,,13.86429901,0.1227804,,,,2.52938961,0.8664812
723.2055,19.53932,,,,13.82732847,0.1953932,,,,2.53062371,0.8663978
725.134,23.30368,,,,13.79055457,0.2330368,,,,2.531859656,0.8666441
727.0626,19.66965,,,,13.75397387,0.1966965,,,,2.533096168,0.8661999
728.9911,12.43978,,,,13.7175886,0.1243978,,,,2.534334531,0.8655757
730.9197,14.98779,,,,13.68139346,0.1498779,,,,2.535573462,0.8658517
732.8483,32.41277,,,,13.64538882,0.3241277,,,,2.536814248,0.8656448
734.7768,51.85456,,,,13.60957504,0.5185456,,,,2.538055606,0.8648128
736.7053,64.19279,,,,13.57394877,0.6419279,,,,2.539298823,0.8639426
738.6339,71.18014,,,,13.53850669,0.7118014,,,,2.540542614,0.8630019
740.5624,75.37846,,,,13.50325104,0.7537846,,,,2.54178827,0.862423
742.491,78.14892,,,,13.46817672,0.7814892,,,,2.543035148,0.861616
744.4196,80.06274,,,,13.43328413,0.8006274,,,,2.544282603,0.8604044
746.3481,81.39764,,,,13.39857367,0.8139764,,,,2.54553193,0.8595644
748.2766,82.26944,,,,13.36404212,0.8226944,,,,2.546781836,0.8596505
750.2052,82.90423,,,,13.32968633,0.8290423,,,,2.548033619,0.8598829
752.1337,83.35574,,,,13.2955085,0.8335574,,,,2.549285983,0.859418
754.0623,83.61707,,,,13.26150372,0.8361707,,,,2.55054023,0.8592233
755.9908,83.74245,,,,13.2276742,0.8374245,,,,2.55179506,0.8590842
757.9194,83.73533,,,,13.19401509,0.8373533,,,,2.553051778,0.8585765
759.8479,83.60731,,,,13.16052857,0.8360731,,,,2.554309734,0.8573193
761.7765,83.42336,,,,13.12720988,0.8342336,,,,2.555568277,0.8569962
763.705,83.1685,,,,13.09406119,0.831685,,,,2.556828714,0.8575972
765.6335,82.89431,,,,13.06107949,0.8289431,,,,2.558089741,0.8588117
767.5621,82.65976,,,,13.02826182,0.8265976,,,,2.559352668,0.8603108
769.4907,82.56586,,,,12.99560865,0.8256586,,,,2.560616187,0.8620615
771.4192,82.72823,,,,12.96312044,0.8272823,,,,2.56188161,0.8629145
773.3478,83.13663,,,,12.93079259,0.8313663,,,,2.563147627,0.8627741
775.2763,83.78378,,,,12.89862724,0.8378378,,,,2.564415554,0.8617882
777.2048,84.59792,,,,12.86662151,0.8459792,,,,2.565684736,0.8601929
779.1334,85.51054,,,,12.83477258,0.8551054,,,,2.566954516,0.8597897
781.062,86.4178,,,,12.80308093,0.864178,,,,2.568225554,0.8610072
782.9905,87.30715,,,,12.77154704,0.8730715,,,,2.569498511,0.8620855
784.9191,88.15001,,,,12.74016647,0.8815001,,,,2.570772731,0.8611922
786.8476,88.89928,,,,12.70894135,0.8889928,,,,2.572047553,0.861595
788.7761,89.48012,,,,12.67786892,0.8948012,,,,2.573324303,0.8630578
790.7047,89.96865,,,,12.64694645,0.8996865,,,,2.574601658,0.862295
792.6332,90.39188,,,,12.61617606,0.9039188,,,,2.575880945,0.8627285
794.5618,90.72662,,,,12.58555345,0.9072662,,,,2.57716084,0.8630772
796.4904,90.89306,,,,12.55507913,0.9089306,,,,2.578442672,0.8622459
798.4189,90.92375,,,,12.52475361,0.9092375,,,,2.579725115,0.8626991
800.3474,90.86716,,,,12.49457423,0.9086716,,,,2.5810095,0.8640419
802.276,90.68562,,,,12.46453839,0.9068562,,,,2.582295165,0.8652551
804.2045,90.31151,,,,12.43464815,0.9031151,,,,2.583581443,0.8673257
806.1331,89.8095,,,,12.40489939,0.898095,,,,2.584869672,0.8671191
808.0616,89.40773,,,,12.37529416,0.8940773,,,,2.586158518,0.8684338
809.9902,89.31322,,,,12.34582838,0.8931322,,,,2.587449318,0.8708144
811.9187,89.44287,,,,12.3165041,0.8944287,,,,2.588740738,0.8716776
813.8473,89.65572,,,,12.28731729,0.8965572,,,,2.590034119,0.8719485
815.7758,89.79061,,,,12.25826998,0.8979061,,,,2.59132812,0.8727018
817.7043,89.79131,,,,12.22935968,0.8979131,,,,2.592624088,0.8751502
819.6329,89.70526,,,,12.20058394,0.8970526,,,,2.593921353,0.8798062
821.5615,89.53106,,,,12.17194331,0.8953106,,,,2.595219243,0.8806195
823.49,89.31867,,,,12.14343829,0.8931867,,,,2.596519106,0.8765852
825.4186,89.16511,,,,12.11506501,0.8916511,,,,2.597819598,0.8745192
827.3471,89.06577,,,,12.08682547,0.8906577,,,,2.599122069,0.8741253
829.2756,88.97468,,,,12.05871727,0.8897468,,,,2.60042517,0.8750323
831.2042,88.89117,,,,12.03073805,0.8889117,,,,2.601730255,0.8759361
833.1328,88.80655,,,,12.00288838,0.8880655,,,,2.603035973,0.8765051
835.0613,88.64452,,,,11.97516877,0.8864452,,,,2.604343681,0.8778049
836.9899,88.03509,,,,11.94757547,0.8803509,,,,2.605652024,0.8777995
838.9184,86.53233,,,,11.92011047,0.8653233,,,,2.606962362,0.8764311
840.8469,85.46032,,,,11.89277144,0.8546032,,,,2.608274019,0.8757814
842.7755,86.65351,,,,11.86555613,0.8665351,,,,2.609586315,0.8753328
844.704,88.74205,,,,11.83846649,0.8874205,,,,2.610900615,0.8743568
846.6326,90.1076,,,,11.81149887,0.901076,,,,2.612215556,0.8743243
848.5612,90.93572,,,,11.78465384,0.9093572,,,,2.613532505,0.8745015
850.4896,91.53146,,,,11.75793331,0.9153146,,,,2.6148501,0.874971
852.4182,91.96957,,,,11.73133094,0.9196957,,,,2.616169708,0.877208
854.3468,92.28841,,,,11.70484866,0.9228841,,,,2.617489963,0.8766528
856.2753,92.5588,,,,11.67848705,0.925588,,,,2.618812238,0.8757613
858.2039,92.77092,,,,11.65224255,0.9277092,,,,2.620135849,0.8767502
860.1324,92.93315,,,,11.6261171,0.9293315,,,,2.621460111,0.8750794
862.0609,93.01176,,,,11.60010853,0.9301176,,,,2.622785713,0.8740121
863.9895,93.03407,,,,11.57421473,0.9303407,,,,2.624113345,0.8747852
865.9181,93.02409,,,,11.54843628,0.9302409,,,,2.625442321,0.8779308
867.8466,92.94838,,,,11.52277373,0.9294838,,,,2.626771955,0.8807219
869.7751,92.79684,,,,11.49722497,0.9279684,,,,2.628103626,0.8812415
871.7037,92.57996,,,,11.47178795,0.9257996,,,,2.629435957,0.8843591
873.6322,92.32733,,,,11.44646454,0.9232733,,,,2.630770332,0.8860822
875.5608,92.04708,,,,11.42125139,0.9204708,,,,2.632105368,0.8851047
877.4894,91.77168,,,,11.39614906,0.9177168,,,,2.633442454,0.8859461
879.4178,91.45287,,,,11.37115942,0.9145287,,,,2.634780205,0.8860237
881.3464,91.06098,,,,11.34627656,0.9106098,,,,2.636120011,0.8857922
883.275,90.59592,,,,11.32150236,0.9059592,,,,2.63746118,0.8861214
885.2035,90.10129,,,,11.29683739,0.9010129,,,,2.638803018,0.8869333
887.1321,89.68895,,,,11.27227839,0.8968895,,,,2.640146919,0.8880022
889.0607,89.44547,,,,11.24782594,0.8944547,,,,2.641491492,0.8889282
890.9891,89.2945,,,,11.22348186,0.892945,,,,2.642838133,0.8891896
892.9177,89.1065,,,,11.19924042,0.891065,,,,2.644185449,0.8899911
894.8463,88.75205,,,,11.17510348,0.8875205,,,,2.64553484,0.891013
896.7748,88.32474,,,,11.1510716,0.8832474,,,,2.646884908,0.8905115
898.7034,88.1311,,,,11.12714161,0.881311,,,,2.648237055,0.8900957
900.632,88.45152,,,,11.10331412,0.8845152,,,,2.649590585,0.8902268
902.5604,89.07858,,,,11.07959091,0.8907858,,,,2.650944797,0.8912806
904.489,89.5008,,,,11.05596641,0.895008,,,,2.652301097,0.8924541
906.4176,89.53195,,,,11.03244244,0.8953195,,,,2.653658081,0.8918915
908.3461,89.53215,,,,11.00901958,0.8953215,,,,2.655017159,0.8918216
910.2747,89.98388,,,,10.98569476,0.8998388,,,,2.656376925,0.8914767
912.2032,90.75888,,,,10.96246977,0.9075888,,,,2.657738791,0.89156
914.1317,91.45607,,,,10.93934277,0.9145607,,,,2.659101346,0.8926955
916.0603,91.95934,,,,10.91631195,0.9195934,,,,2.660466007,0.8931899
917.9889,92.31975,,,,10.8933779,0.9231975,,,,2.661831361,0.8932907
919.9174,92.56556,,,,10.8705412,0.9256556,,,,2.663198827,0.8946877
921.8459,92.74448,,,,10.84780005,0.9274448,,,,2.664567698,0.898087
923.7745,92.87582,,,,10.82515268,0.9287582,,,,2.665937266,0.9001274
925.703,92.96713,,,,10.80260083,0.9296713,,,,2.667308955,0.8987714
927.6316,92.97634,,,,10.7801416,0.9297634,,,,2.668681343,0.8981179
929.5602,92.89188,,,,10.75777556,0.9289188,,,,2.670055858,0.9009471
931.4886,92.74604,,,,10.73550444,0.9274604,,,,2.671431075,0.8986017
933.4172,92.54005,,,,10.71332305,0.9254005,,,,2.672808424,0.8966078
935.3458,92.24621,,,,10.69123312,0.9224621,,,,2.674186479,0.8972672
937.2743,91.89681,,,,10.66923525,0.9189681,,,,2.675566672,0.8997387
939.2029,91.56433,,,,10.64732658,0.9156433,,,,2.67694829,0.9007722
941.1315,91.29221,,,,10.6255077,0.9129221,,,,2.678330618,0.9002574
943.0599,91.0594,,,,10.60378031,0.910594,,,,2.679715093,0.8990444
944.9885,90.82267,,,,10.58213936,0.9082267,,,,2.681100281,0.8973358
946.9171,90.58455,,,,10.56058656,0.9058455,,,,2.682487621,0.8976257
948.8456,90.3291,,,,10.53912249,0.903291,,,,2.683875678,0.8981312
950.7742,90.00919,,,,10.51774438,0.9000919,,,,2.685265892,0.8980166
952.7028,89.67098,,,,10.49645283,0.8967098,,,,2.686656826,0.8972471
954.6312,89.37633,,,,10.4752495,0.8937633,,,,2.688049925,0.8964466
956.5598,89.05576,,,,10.45412948,0.8905576,,,,2.689444468,0.896221
958.4884,88.71535,,,,10.43309444,0.8871535,,,,2.690839736,0.8960622
960.4169,88.40806,,,,10.41214498,0.8840806,,,,2.692236452,0.8972627
962.3455,88.11343,,,,10.39127839,0.8811343,,,,2.693635344,0.8981715
964.274,87.75636,,,,10.37049635,0.8775636,,,,2.69503569,0.8964971
966.2025,87.14511,,,,10.34979727,0.8714511,,,,2.696436767,0.8942135
968.1311,85.96005,,,,10.32917959,0.8596005,,,,2.697840028,0.8927892
970.0597,84.03646,,,,10.30864389,0.8403646,,,,2.699244023,0.8923343
971.9882,82.40468,,,,10.28819074,0.8240468,,,,2.700650209,0.8924014
973.9167,82.66711,,,,10.26781859,0.8266711,,,,2.70205713,0.8914727
975.8453,84.51679,,,,10.24752591,0.8451679,,,,2.703466249,0.8901369
977.7738,86.57321,,,,10.22731433,0.8657321,,,,2.704876107,0.8897132
979.7024,88.19182,,,,10.20718128,0.8819182,,,,2.706288169,0.889663
981.631,89.36679,,,,10.18712734,0.8936679,,,,2.707701706,0.8909012
983.5594,90.10948,,,,10.16715411,0.9010948,,,,2.709115986,0.892763
985.488,90.43973,,,,10.14725699,0.9043973,,,,2.710532479,0.8934703
987.4166,90.40221,,,,10.1274376,0.9040221,,,,2.711949718,0.8912006
989.3451,90.06559,,,,10.1076965,0.9006559,,,,2.713369177,0.889314
991.2737,89.4163,,,,10.08803119,0.894163,,,,2.714789385,0.8889216
993.2023,88.20901,,,,10.06844225,0.8820901,,,,2.716211819,0.8890726
995.1307,86.34168,,,,10.04893126,0.8634168,,,,2.717635005,0.8895452
997.0593,84.83386,,,,10.02949373,0.8483386,,,,2.719060423,0.8917545
998.9879,85.10877,,,,10.01013125,0.8510877,,,,2.720486597,0.8939938
1000.916,86.70081,,,,9.990848383,0.8670081,,,,2.721915009,0.8912711
1002.845,88.07094,,,,9.971630711,0.8807094,,,,2.723344921,0.8911668
1004.774,88.71718,,,,9.952486828,0.8871718,,,,2.724775594,0.8914561
1006.702,88.88615,,,,9.933426178,0.8888615,,,,2.726208515,0.8892215
1008.631,88.78195,,,,9.914428567,0.8878195,,,,2.727642199,0.8874026
1010.559,88.5596,,,,9.895513275,0.885596,,,,2.729078137,0.886579
1012.488,88.33127,,,,9.876660267,0.8833127,,,,2.730514841,0.8860844
1014.416,88.08672,,,,9.857888677,0.8808672,,,,2.731953806,0.8853882
1016.345,87.87883,,,,9.839178625,0.8787883,,,,2.733393541,0.8852914
1018.273,87.771,,,,9.820549106,0.87771,,,,2.734835542,0.8850227
1020.202,87.7803,,,,9.801980392,0.877803,,,,2.736279065,0.8827976
1022.13,87.84926,,,,9.783491337,0.8784926,,,,2.737723364,0.8825018
1024.059,87.95211,,,,9.765062365,0.8795211,,,,2.739169938,0.8834174
